,College,Location,University,Course Offered,Ownership Type,Phone Number,Email
1248,College of National Academic Square,"Koteshwor, Kathmandu",National Examinations Board,"Bachelor of Arts
        (BA)
 Bachelor of Education
        (BEd)
 Bachelor of Business Studies
        (BBS)
 Ten Plus Two (+2) Humanities
        (+2 Humanities)
 Ten Plus Two (+2) Education
        (+2 Education)
 Ten Plus Two (+2) Management
        (+2 Mangement)
 One year Bachelor of Education
        (BEd)",public Institution,01-4602084,cnascampus@gmail.com
1249,Shiksha Mahabhidyalaya Campus,"Pokhara, Kaski",Tribhuvan University,"Bachelor of Education
        (BEd)",public Institution,061-522418,
1250,Shiksha Mahabhidyalaya Campus,"Pokhara, Kaski",Tribhuvan University,"Bachelor of Education
        (BEd)",public Institution,061-522418,
1251,Budhinanda Campus,"Kolti, Budhinanda, Bajura",Tribhuvan University,"Bachelor of Arts
        (BA)",public Institution,097-680275,
1252,Saradha Balika Namuna Multiple Campus,"Dharan, Sunsari",Tribhuvan University,"Bachelor of Business Studies
        (BBS)",public Institution,,
1253,Jitpur Campus,"Arkhoule, Jitpur, Mahalaxmi, Dhankuta",Tribhuvan University,"Bachelor of Education
        (BEd)",public Institution,9742005813,
1254,Shahayogi Multiple Campus,"Gokarna, Gokarneshwar, Kathmandu",Tribhuvan University,"Bachelor of Business Studies
        (BBS)
 Bachelor of Arts
        (BA)",public Institution,01-4801043,
1255,Janabikash College,"Besishahar, Besishahar, Lamjung",Tribhuvan University,"Bachelor of Business Studies
        (BBS)
 Bachelor of Education
        (BEd)",public Institution,,
1256,Arghakhanchi Shiksha Campus,"Sandhikharka, Belbatika, Sandhikharka, Sandhikharka, Arghakhanchi",Tribhuvan University,"Bachelor of Education
        (BEd)",public Institution,974701203,
1257,Arghakhanchi Shiksha Campus,"Sandhikharka, Belbatika, Sandhikharka, Sandhikharka, Arghakhanchi",Tribhuvan University,"Bachelor of Education
        (BEd)",public Institution,974701203,
1258,Shree Narad Adarsh Education Campus,"Basaha, Chaudandigadhi, Udayapur",Tribhuvan University,"Bachelor of Education
        (BEd)",public Institution,,
1259,Dedithumka Public Campus,"Mahadevsthan, Mandandeupur, Kavrepalanchok",Tribhuvan University,"Bachelor of Business Studies
        (BBS)
 Bachelor of Arts
        (BA)
 Bachelor of Education
        (BEd)",public Institution,9841470748,
1260,Siddhartha Academy Secondary School/College,"Bafal, Kathmandu",Tribhuvan University,"Bachelor of Arts
        (BA)",public Institution,"01-4284666, 01-4278632",
1261,Ramapur Campus,"Dudhraksha, Rupandehi",Tribhuvan University,"Bachelor of Business Studies
        (BBS)
 Bachelor of Education
        (BEd)",public Institution,071-440401,
1262,National Academy,"Reshamkothi, Birgunj, Parsa",Tribhuvan University,"Bachelor of Business Studies
        (BBS)",public Institution,"977-51524007,529492",
1263,Mithila College,"Janakpur- 4, Janakpur, Dhanusha",Tribhuvan University,"Bachelor of Business Studies
        (BBS)",public Institution,041-523035,mitcampus.jnk@gmail.com
1264,National Police Academy,"Maharajgunj, Kathmandu",Tribhuvan University,Post Graduate Diploma in Police Science,public Institution,,
1265,Parasi Campus,"Ramgram-3, Ramgram, Ramgram, Parasi",Tribhuvan University,"Bachelor of Business Studies
        (BBS)",public Institution,,
1266,Sai Global College,"Siddharthanagar-5, Bhairahawa, Siddharthanagar, Rupandehi",Tribhuvan University,"Bachelor of Business Studies
        (BBS)",public Institution,,
1267,"Scheer Memorial Adventist Hospital, College of Nursing","Banepa, Kavrepalanchok",Kathmandu University,BSc Nursing,public Institution,"011-663581, 011-661111",smhcon@yahoo.com
1268,Somnath Baba Campus,"Sunwal, Parasi",Tribhuvan University,"Bachelor of Business Studies
        (BBS)",public Institution,,
1269,JVT College Palpa,"Tansen, Palpa",Tribhuvan University,"Bachelor of Business Studies
        (BBS)
 Bachelor of Education
        (BEd)",public Institution,075-520107,
1270,Biswojyoti Adarsh Multiple Campus,"Pragatinagar, Nawalpur",Tribhuvan University,"Bachelor of Business Studies
        (BBS)
 Bachelor of Education
        (BEd)",public Institution,,
1271,Chandra Shatrughan Campus,"Bode, Barsain, Bode Barsain, Saptari",Tribhuvan University,"Bachelor of Education
        (BEd)",public Institution,,
1272,Nawa Adarsha Multiple Campus,"Deurali-1, Deurali, Ribdikot, Palpa",Tribhuvan University,"Bachelor of Business Studies
        (BBS)
 Bachelor of Education
        (BEd)",public Institution,075-690465,
1273,Millennium Multiple Campus,"Tansen, Silkhan Tole, Tansen, Palpa",Tribhuvan University,"Bachelor of Education
        (BEd)
 Bachelor of Business Studies
        (BBS)",public Institution,"075-521147, 520355",
1274,Sarswoti Multiple Campus,"Khasyauli, Ribdikot, Palpa",Tribhuvan University,"Bachelor of Education
        (BEd)",public Institution,075-690467,
1275,Sarswoti Multiple Campus,"Khasyauli, Ribdikot, Palpa",Tribhuvan University,"Bachelor of Education
        (BEd)",public Institution,075-690467,
1276,Nepal Adarsh Campus,"Waling, Syangja",Tribhuvan University,"Bachelor of Business Studies
        (BBS)
 Bachelor of Education
        (BEd)",public Institution,,
1277,Bagmati Multiple Campus,"Pipara Bhalohiya, Pipara, Rautahat",Tribhuvan University,"Bachelor of Education
        (BEd)",public Institution,,
1278,Parashar College,"vyas-11, Damauli, Byas, Tanahun",National Examinations Board,"Bachelor of Education
        (BEd)
 Bachelor of Business Studies
        (BBS)
 Ten Plus Two (+2) Science
        (+2 Science)
 Ten Plus Two (+2) Management
        (+2 Mangement)
 Ten Plus Two (+2) Humanities
        (+2 Humanities)
 Ten Plus Two (+2) Education
        (+2 Education)",public Institution,065-561728,parashar.college@yahoo.com
1279,Koshi Multiple Campus,"Bhrikuti chowk, Pragati Tole, Bhrikuti, Biratnagar, Morang",National Examinations Board,"Master of Business Studies
        (MBS)
 Master of Education General
        (M.Ed)
 Bachelor of Business Studies
        (BBS)
 Bachelor of Education
        (BEd)
 One year Bachelor of Education
        (BEd)
 Ten Plus Two (+2) Management
        (+2 Mangement)
 Ten Plus Two (+2) Education
        (+2 Education)",public Institution,977 21 528537,info@koshi.edu.np
1280,Maharshi Valmiki Campus,"Gaur, Gaur, Rautahat",Tribhuvan University,"Bachelor of Arts
        (BA)",public Institution,,
1281,Gobardhan Multiple Campus,"Fattepur, 3, Phattepur, Saptakoshi, Saptari",Tribhuvan University,"Bachelor of Business Studies
        (BBS)
 Bachelor of Education
        (BEd)",public Institution,,
1282,Syangja Multiple Campus,"syangja Bazar, Putalibazar, Syangja",National Examinations Board,"Bachelor of Business Studies
        (BBS)
 Bachelor of Education
        (BEd)
 Ten Plus Two (+2) Management
        (+2 Mangement)
 Ten Plus Two (+2) Humanities
        (+2 Humanities)
 Ten Plus Two (+2) Education
        (+2 Education)",public Institution,"063-420014, 063-420554",
1283,Bhairab Janata Multiple Campus,"Bhairabsthan-3, Bhairabsthan, Ribdikot, Palpa",Tribhuvan University,"Bachelor of Education
        (BEd)",public Institution,075-690368,
1284,Sarva Shanti Campus,"Darechowk-3, Darechowk, Ichchhyakamana, Chitwan",Tribhuvan University,"Bachelor of Business Studies
        (BBS)",public Institution,,
1285,Mahaveer Janata Multiple Campus,"haripur-9, Haripur, Haripur, Sarlahi",Tribhuvan University,"Bachelor of Business Studies
        (BBS)",public Institution,,
1286,Swarnim Sagarmatha College,"Devdaha-5, Devdaha, Devdaha, Rupandehi",Tribhuvan University,"Bachelor of Business Studies
        (BBS)",public Institution,,
1287,Janasewa Banijya Campus,"Tribhuvan Nagar, Ghorahi, Dang",Tribhuvan University,"Bachelor of Business Studies
        (BBS)",public Institution,,
1288,Buddha Jyoti College,"Bhim Kali Path, Bhairahawa, Siddharthanagar, Rupandehi",Tribhuvan University,"Bachelor of Business Studies
        (BBS)",public Institution,,
1289,Mahendrodaya Campus,"Manthali, Ramechhap",Tribhuvan University,"Bachelor of Business Studies
        (BBS)
 Bachelor of Arts
        (BA)
 Bachelor of Education
        (BEd)",public Institution,,
1290,West Point College,"Arthunge-1 Beni Bazar, biruta, Arthunge, Beni, Myagdi",Tribhuvan University,"Bachelor of Business Studies
        (BBS)",public Institution,"069-520742, 061-520471",westpoint.520472@gmail.com
1291,Mount Multiple Campus,"Bagabazar, Amargadhi, Dadeldhura",Tribhuvan University,"Bachelor of Business Studies
        (BBS)",public Institution,,
1292,Universal Academy College,"Adarshnagar, Janakpur, Dhanusha",Tribhuvan University,"Bachelor of Education
        (BEd)
 Bachelor of Business Studies
        (BBS)",public Institution,,
1293,Bhimoday Multiple Campus,"Aarughat, Gorakha, Aarughat, Aarughat, Gorkha",Tribhuvan University,"Bachelor of Business Studies
        (BBS)
 Bachelor of Education
        (BEd)",public Institution,,
1294,Manasarowar Multiple Campus,"Simkot, Simikot, Humla",Tribhuvan University,"Bachelor of Arts
        (BA)
 Bachelor of Education
        (BEd)",public Institution,,
1295,Modern Campus,"Ilam -3, Ilam",Tribhuvan University,"Bachelor of Business Studies
        (BBS)
 Bachelor of Arts
        (BA)",public Institution,,
1296,Prabhat International Multiple Campus,"Banepa, Chaurideurali, Kavrepalanchok",Tribhuvan University,"Bachelor of Business Studies
        (BBS)",public Institution,,
1297,B.P. Koirala Campus,"Janakpur, Dhanusha",Tribhuvan University,"Bachelor of Education
        (BEd)",public Institution,041-523011,
1298,Adarsha Multiple Campus Bhaktapur,"Sanothimi, Madhyapur Thimi, Bhaktapur",National Examinations Board,"Ten Plus Two (+2) Management
        (+2 Mangement)
 Ten Plus Two (+2) Humanities
        (+2 Humanities)
 Ten Plus Two (+2) Education
        (+2 Education)
 Bachelor of Business Studies
        (BBS)",public Institution,01-6633667,
1299,Navadurga Multiple Campus,Bhaktapur,National Examinations Board,"Bachelor of Business Studies
        (BBS)
 Ten Plus Two (+2) Management
        (+2 Mangement)",public Institution,01-6612067,
1300,Gauri Shankar Yadav Campus,"Gaur, Gaur, Rautahat",National Examinations Board,"Ten Plus Two (+2) Science
        (+2 Science)
 Ten Plus Two (+2) Management
        (+2 Mangement)
 Ten Plus Two (+2) Humanities
        (+2 Humanities)
 Ten Plus Two (+2) Education
        (+2 Education)
 Bachelor of Business Studies
        (BBS)
 Bachelor of Education
        (BEd)
 Master of Business Studies
        (MBS)",public Institution,055-520327,
1301,Birat Campus School of Management Studies,Morang,Tribhuvan University,"Bachelor of Business Studies
        (BBS)",public Institution,,
1302,Kathmandu Campus,"Kalimati, Kathmandu",National Examinations Board,"Ten Plus Two (+2) Management
        (+2 Mangement)
 Ten Plus Two (+2) Humanities
        (+2 Humanities)
 Bachelor of Business Studies
        (BBS)
 Bachelor of Arts
        (BA)
 Master of Business Studies
        (MBS)",public Institution,977-1-4265828,info@kathmanducampus.edu.np
1303,Mahalaxmi Campus,"Devisthan, Lubhu, Mahalaxmi, Lalitpur",National Examinations Board,"Ten Plus Two (+2) Management
        (+2 Mangement)
 Ten Plus Two (+2) Humanities
        (+2 Humanities)
 Bachelor of Business Studies
        (BBS)
 Bachelor of Arts
        (BA)",public Institution,01-5580096,
1304,Adarsha Kanya Campus,"Mangalbazar, Lalitpur",Tribhuvan University,"Bachelor of Business Studies
        (BBS)",public Institution,01-5542583,
1305,Padmodaya Campus,"Ghorahi, Adwait marg, Ghorahi, Dang",Tribhuvan University,"Bachelor of Science (General)
        (BSc)
 Bachelor of Business Studies
        (BBS)",public Institution,082-563574,ppmhssdang@gmail.com
1306,Birendranagar Multiple Campus,"Chakrapani path, Chakrapani, Surkhet",Tribhuvan University,"MA in Sociology
 Bachelor of Arts
        (BA)
 Bachelor of Business Studies
        (BBS)
 MA in Political Science
        (MA Political Science)
 MA in Rural Development
        (MRD)",public Institution,083-520228,
1307,Birendranagar Multiple Campus,"Chakrapani path, Chakrapani, Surkhet",Tribhuvan University,"MA in Sociology
 Bachelor of Arts
        (BA)
 Bachelor of Business Studies
        (BBS)
 MA in Political Science
        (MA Political Science)
 MA in Rural Development
        (MRD)",public Institution,083-520228,
1308,Peoples Multiple Campus Kavre,"Jangal, Ugratara, Banepa, Kavrepalanchok",Tribhuvan University,"Bachelor of Arts
        (BA)
 Bachelor of Education
        (BEd)",public Institution,011-660757,
1309,Dhulikhel Campus,"Dhulikhel, Kavrepalanchok",National Examinations Board,"Bachelor of Business Studies
        (BBS)
 Ten Plus Two (+2) Management
        (+2 Mangement)",public Institution,011-490462,
1310,Shanti Academy,"Bharatpur-10, Bharatpur, Chitwan",National Examinations Board,"Bachelor of Arts
        (BA)
 Bachelor of Business Studies
        (BBS)
 Ten Plus Two (+2) Management
        (+2 Mangement)
 Master of Business Studies
        (MBS)",public Institution,"056-528657, 056-530506",
1311,Shanti Academy,"Bharatpur-10, Bharatpur, Chitwan",National Examinations Board,"Bachelor of Arts
        (BA)
 Bachelor of Business Studies
        (BBS)
 Ten Plus Two (+2) Management
        (+2 Mangement)
 Master of Business Studies
        (MBS)",public Institution,"056-528657, 056-530506",
1312,HIMSE Academy,"Bhimeshwor, Himse Chowk Charikot, Bhimeshwor, Bhimeshwor, Dolakha",National Examinations Board,"Ten Plus Two (+2) Management
        (+2 Mangement)
 Bachelor of Business Studies
        (BBS)",public Institution,049-421607,adhikari_pp@yahoo.com
1313,Triyuga Janata Multiple Campus,"Ghaighat, Triyuga, Udayapur",National Examinations Board,"Ten Plus Two (+2) Humanities
        (+2 Humanities)
 Ten Plus Two (+2) Education
        (+2 Education)
 Ten Plus Two (+2) Management
        (+2 Mangement)
 Bachelor of Business Studies
        (BBS)
 Bachelor of Education
        (BEd)
 One year Bachelor of Education
        (BEd)
 Bachelor of Education in Information Communication Technology
        (BICTE)
 Master of Business Studies
        (MBS)
 Bachelor of Arts
        (BA)
 Bachelor of Arts in Social Work
        (BASW)
 Master of Education General
        (M.Ed)",public Institution,"035-421435, 035-420304",trijugacampus@gmail.com
1314,Triyuga Janata Multiple Campus,"Ghaighat, Triyuga, Udayapur",National Examinations Board,"Ten Plus Two (+2) Humanities
        (+2 Humanities)
 Ten Plus Two (+2) Education
        (+2 Education)
 Ten Plus Two (+2) Management
        (+2 Mangement)
 Bachelor of Business Studies
        (BBS)
 Bachelor of Education
        (BEd)
 One year Bachelor of Education
        (BEd)
 Bachelor of Education in Information Communication Technology
        (BICTE)
 Master of Business Studies
        (MBS)
 Bachelor of Arts
        (BA)
 Bachelor of Arts in Social Work
        (BASW)
 Master of Education General
        (M.Ed)",public Institution,"035-421435, 035-420304",trijugacampus@gmail.com
1315,Ramananda Bisheshwor Mahendra Campus,"Jaleshwor, Jaleswor, Mahottari",National Examinations Board,"Ten Plus Two (+2) Management
        (+2 Mangement)
 Ten Plus Two (+2) Education
        (+2 Education)
 Bachelor of Education
        (BEd)
 Master of Education General
        (M.Ed)
 Bachelor of Business Studies
        (BBS)",public Institution,044-520114,
